,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster_km,cluster_ag
62,0.565,0.628,0.8181818181818182,0.5946367178546871,0.033,0.0672,0.000181,0.39,0.706,0.6168730721848109,Same Old Song and Dance,Aerosmith,18,32
63,0.242,0.791,0.6363636363636364,0.7087783635113454,0.0635,0.0239,2.77e-05,0.283,0.314,0.9352763549125132,Seasons of Wither,Aerosmith,14,22
64,0.38,0.76,0.8181818181818182,0.5674535869814348,0.0378,0.00298,0.0294,0.104,0.491,0.4605313128131976,Sweet Emotion,Aerosmith,18,12
65,0.56,0.973,0.18181818181818182,0.8707311482924592,0.0466,0.0613,0.00161,0.394,0.829,0.5875100732685556,The Other Side,Aerosmith,44,19
66,0.219,0.928,1.0,0.6116433646573458,0.0697,0.001,2.43e-06,0.341,0.446,0.9145231059939422,Toys in the Attic,Aerosmith,14,17
67,0.359,0.854,1.0,0.6207196882878753,0.0418,0.00194,0.00767,0.841,0.472,0.460424790892839,Train Kept A-Rollin',Aerosmith,11,23
68,0.653,0.73,0.4545454545454546,0.5834059133623652,0.043,0.0114,1.03e-05,0.0754,0.894,0.5034550153298938,Walk This Way,Aerosmith,17,7
69,0.522,0.738,0.0,0.7754755901902359,0.031,0.0286,5.8e-06,0.4,0.461,0.6609083077835104,What It Takes,Aerosmith,16,8
70,0.293,0.478,0.0,0.6326380930552371,0.0264,0.126,0.017,0.204,0.222,0.39425615279874765,You See Me Crying,Aerosmith,4,34
71,0.657,0.655,0.0,0.6894338757735502,0.0248,0.135,0.00303,0.102,0.668,0.427287210885614,Hand In My Pocket,Alanis Morissette,48,18
72,0.665,0.834,0.36363636363636365,0.7152418060967224,0.0576,0.21,0.0,0.452,0.411,0.48764808862623776,You Oughta Know,Alanis Morissette,44,34
73,0.754,0.366,0.7272727272727273,0.6082970433188173,0.0312,0.273,9.04e-05,0.106,0.469,0.42213710760566514,Black Velvet,Alannah Myles,30,11
74,0.515,0.878,0.0,0.7578271831308732,0.0707,4.7e-05,0.000349,0.138,0.371,0.6079530192017341,Fantasy,Aldo Nova,16,34
75,0.532,0.434,0.18181818181818182,0.3616777446710979,0.0543,0.113,0.00151,0.076,0.554,0.544651210181643,BE MY LOVER,Alice Cooper,33,20
76,0.468,0.663,0.8181818181818182,0.5329360531744212,0.0634,0.00739,0.0352,0.124,0.714,0.4201317166702174,Billion Dollar Babies,Alice Cooper,18,6
77,0.618,0.413,0.36363636363636365,0.4206280082512033,0.0302,0.249,0.0517,0.131,0.531,0.45313498643003364,Eighteen,Alice Cooper,30,20
78,0.295,0.74,0.8181818181818182,0.4706394682557873,0.0344,0.0604,0.142,0.193,0.506,0.6266221435915487,Elected,Alice Cooper,14,17
79,0.479,0.979,0.9090909090909092,0.8371762548705018,0.107,0.0207,0.0,0.722,0.292,0.5778351040672848,House Of Fire,Alice Cooper,11,23
