danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster
0.425,0.493,0.0,0.5530139812055924,0.0306,0.0943,0.871,0.332,0.452,0.517895682620254,WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,ZZ Top,17
0.634,0.63,0.09090909090909091,0.6904881961952783,0.031,0.447,0.039,0.17,0.489,0.5494122768828907,Gimme Shelter,Rolling Stones,18
0.275,0.21600000000000003,0.4545454545454546,0.4364886545954618,0.0345,0.768,0.897,0.0832,0.18100000000000002,0.5390379681175261,The Great Gig In the Sky,Pink Floyd,19
0.488,0.892,0.18181818181818182,0.7430208572083428,0.0496,0.0763,0.486,0.266,0.675,0.6139089839661354,Misty Mountain Hop,Led Zeppelin,20
0.649,0.425,0.36363636363636365,0.6201696080678432,0.0267,0.37799999999999995,0.0013,0.10800000000000001,0.6509999999999999,0.49733232060319194,New Kid In Town,Eagles,21
0.318,0.657,0.18181818181818182,0.5276644510657803,0.0358,0.10099999999999999,3.01e-06,0.14400000000000002,0.753,0.8219648199779547,THE SEEKER,The Who,22
0.652,0.583,0.8181818181818182,0.7118496447398579,0.038,0.41200000000000003,0.0,0.11900000000000001,0.7440000000000001,0.6397521281227132,Eight Days A Week,The Beatles,23
0.43700000000000006,0.27899999999999997,0.18181818181818182,0.4018794407517763,0.0325,0.505,0.0161,0.133,0.3,0.5465917616873072,Holiday,Scorpions,24
0.521,0.754,0.8181818181818182,0.7367407746963098,0.0258,5.2300000000000004e-05,0.768,0.163,0.8220000000000001,0.6807028594188534,Helen Wheels,Paul McCartney & Wings,25
0.331,0.733,0.18181818181818182,0.6724272289708916,0.0468,0.0887,0.0017399999999999998,0.9470000000000001,0.38,0.5951889143100622,Jet,Paul McCartney & Wings,26
0.36200000000000004,0.961,0.18181818181818182,0.8102681641072655,0.0857,0.024,9.35e-06,0.159,0.491,0.7596356024046166,Breaking The Law,Judas Priest,27
0.298,0.327,0.8181818181818182,0.4090304836121934,0.0485,0.6729999999999999,0.905,0.0786,0.33299999999999996,0.6047388360396075,Set The Controls For The Heart Of The Sun,Pink Floyd,28
0.39,0.648,0.7272727272727273,0.6211780884712353,0.13699999999999998,0.00428,0.0531,0.6890000000000001,0.493,0.47933011606257936,If 6 Was 9,Jimi Hendrix,29
0.45399999999999996,0.65,0.36363636363636365,0.6027504011001603,0.0437,0.40700000000000003,0.0498,0.589,0.72,0.5564797747292954,Have a Cigar,Pink Floyd,30
0.402,0.922,0.7272727272727273,0.7530598212239283,0.0669,0.0121,4.98e-05,0.16899999999999998,0.301,0.6024694559971842,Somebody Get Me A Doctor,Van Halen,31
0.642,0.6409999999999999,0.18181818181818182,0.4994728397891358,0.049,0.154,1.23e-06,0.0475,0.85,0.5572300595596477,Baby Hold On,Eddie Money,32
0.764,0.426,0.18181818181818182,0.5636030254412101,0.0405,0.629,0.00011899999999999999,0.132,0.726,0.6072675738011653,Maxwell's Silver Hammer,The Beatles,33
0.42700000000000005,0.45899999999999996,0.8181818181818182,0.49956451982580785,0.0332,0.11599999999999999,0.000103,0.132,0.38299999999999995,0.6015153901017979,Crazy On You,Heart,34
0.441,0.745,0.18181818181818182,0.6746275498510199,0.0741,0.084,2.22e-05,0.136,0.368,0.48718031845422805,Wheel in the Sky,Journey,35
0.298,0.77,0.36363636363636365,0.7486591794636718,0.0553,0.15,0.616,0.495,0.452,0.6244222343667503,Gypsy,The Moody Blues,36
0.63,0.486,0.8181818181818182,0.4920009168003666,0.0329,0.126,1.86e-05,0.111,0.835,0.5773163886290166,Pride of Man,Quicksilver Messenger Service,37
0.586,0.86,0.09090909090909091,0.7603942241576895,0.0584,0.0372,0.00109,0.1,0.943,0.6153493455848981,THE BITCH IS BACK,Elton John,38
0.377,0.682,0.6363636363636364,0.7013981205592481,0.0299,0.0008939999999999999,0.00217,0.0504,0.28800000000000003,0.5035985883529859,More Than a Feeling,Boston,39
0.428,0.946,0.18181818181818182,0.8556497822599128,0.102,0.00011899999999999999,3.37e-06,0.141,0.358,0.6171787437823618,On a Plain,Nirvana,40
0.499,0.8959999999999999,0.8181818181818182,0.7639239055695621,0.0442,0.00214,0.007209999999999999,0.17800000000000002,0.8290000000000001,0.5947906149556778,Too Hot To Handle,UFO,41
0.619,0.773,0.7272727272727273,0.7332110932844372,0.063,0.129,0.0487,0.519,0.722,0.5779045748849101,Make Me Smile,Chicago,42
0.48100000000000004,0.262,0.6363636363636364,0.3488425395370157,0.0414,0.735,0.0114,0.8320000000000001,0.375,0.5691188321492419,Wish You Were Here,Pink Floyd,43
0.48700000000000004,0.46399999999999997,0.36363636363636365,0.45134082053632807,0.0353,0.105,0.00016999999999999999,0.0767,0.214,0.45169925619911266,Lunatic Fringe,Red Rider,44
0.637,0.89,0.6363636363636364,0.8465734586293834,0.0677,0.11900000000000001,6.720000000000001e-05,0.10300000000000001,0.9229999999999999,0.591377282116359,We're an American Band,Grand Funk Railroad,45
0.32899999999999996,0.823,0.8181818181818182,0.776025670410268,0.0832,0.00223,0.000368,0.155,0.406,0.8163932604044128,Better Off Without You,Clarks,46
0.5539999999999999,0.74,0.8181818181818182,0.7166628466651386,0.0803,0.698,6.9e-05,0.225,0.804,0.617655776730055,Gimme Three Steps,Lynyrd Skynyrd,47
0.359,0.7170000000000001,0.18181818181818182,0.5973412789365115,0.0405,0.015,0.00365,0.36,0.47,0.5644642873683527,Don't Look Back,Boston,48
0.597,0.821,0.18181818181818182,0.6330506532202613,0.0367,0.0683,0.0,0.389,0.836,0.6102270306319991,In The Mood,Rush,49
